Name,Type,ModuleCreationDate,ModuleCreator,ModuleDescription,ModuleEffectiveDate,ModuleIsPIUnit,ModuleModifier,ModuleModifyDate,ModuleObsoleteDate,ModuleParentCount,ModulePIHeading,ModuleRevisionNumber,ModuleSecurity,ModuleUniqueID,ModuleVersionComment,
%OSI,Module,2/28/2022 9:49:32 AM,piadmin,OSI Internal Application Information,12/31/1969 7:00:01 PM,FALSE,piadmin,2/28/2022 9:49:32 AM,,1,,1,piadmin: A(r,w) | piadmins: A(r,w) | PIWorld: A(r),5c64c379-c182-4f35-8d30-78d8c2f84501
%OSI\ACE2xSchedulers,Module,2/28/2022 10:56:44 AM,piadmin,,12/31/1969 7:00:01 PM,FALSE,piadmin,2/28/2022 10:56:51 AM,,2,,3,piadmin: A(r,w) | piadmins: A(r,w) | PIWorld: A(r),8e314865-96e9-426a-8bba-c6eae2846419
%OSI\ACE2xSchedulers\default,Module,2/28/2022 10:56:44 AM,piadmin,,12/31/1969 7:00:01 PM,FALSE,piadmin,5/30/2022 3:55:34 PM,,1,,11,piadmin: A(r,w) | piadmins: A(r,w) | PIWorld: A(r),a12a6aba-bd5d-4fc9-98bd-5f7d69d5913e
%OSI\ACE2xSchedulers\default\BrianFirstACE,Module,3/2/2022 11:16:44 AM,piadmin,,12/31/1969 7:00:01 PM,FALSE,piadmin,5/30/2022 3:55:33 PM,,2,,13,piadmin: A(r,w) | piadmins: A(r,w) | PIWorld: A(r),fdca89af-2f33-4293-b764-789207c2a295
%OSI\ACE2xSchedulers\default\BrianFirstACE\Main,Module,3/2/2022 11:30:22 AM,piadmin,,12/31/1969 7:00:01 PM,FALSE,piadmin,5/30/2022 3:55:33 PM,,1,,10,piadmin: A(r,w) | piadmins: A(r,w) | PIWorld: A(r),55c9814e-a1d1-448d-9716-a15948d3fdbc
%OSI\ACE2xSchedulers\default\BrianFirstACE\Main\Context1,Module,3/2/2022 11:30:22 AM,piadmin,,12/31/1969 7:00:01 PM,FALSE,piadmin,5/30/2022 3:55:34 PM,,1,,10,piadmin: A(r,w) | piadmins: A(r,w) | PIWorld: A(r),dae9c889-7dd4-40a4-bae8-c65f7fe5926a
%OSI\ACE2xSchedulers\default\MichaelFirstACE,Module,5/30/2022 3:41:10 PM,OSI\mpucci,,12/31/1969 7:00:01 PM,FALSE,piadmin,5/30/2022 3:55:34 PM,,2,,12,piadmin: A(r,w) | piadmins: A(r,w) | PIWorld: A(r),808a6a38-0ade-4edc-b2ad-288864a9dc5b
%OSI\ACE2xSchedulers\default\MichaelFirstACE\Main,Module,5/30/2022 3:41:38 PM,OSI\mpucci,,12/31/1969 7:00:01 PM,FALSE,piadmin,5/30/2022 3:55:34 PM,,1,,46,piadmin: A(r,w) | piadmins: A(r,w) | PIWorld: A(r),beed48f9-d441-4e41-9c58-11a7d71faa86
%OSI\ACE2xSchedulers\default\MichaelFirstACE\Main\Context1,Module,5/30/2022 3:42:05 PM,OSI\mpucci,,12/31/1969 7:00:01 PM,FALSE,piadmin,5/30/2022 3:55:35 PM,,1,,20,piadmin: A(r,w) | piadmins: A(r,w) | PIWorld: A(r),2369c087-7060-450d-8126-ccee38be043d
%OSI\ACE2xSchedulers\default\MPACE,Module,5/30/2022 3:42:57 PM,OSI\mpucci,,12/31/1969 7:00:01 PM,FALSE,OSI\mpucci,5/30/2022 3:43:35 PM,,1,,45,piadmin: A(r,w) | piadmins: A(r,w) | PIWorld: A(r),92a02cda-01c8-41fb-b092-ed360d830184
%OSI\ACEClassLibraries,Module,2/28/2022 10:56:44 AM,piadmin,,12/31/1969 7:00:01 PM,FALSE,piadmin,5/30/2022 3:55:33 PM,,2,,6,piadmin: A(r,w) | piadmins: A(r,w) | PIWorld: A(r),ad3c4f8c-8ad1-4c91-8f50-f52be7322710
%OSI\ACEClassLibraries\BrianFirstACE,Module,3/2/2022 11:16:44 AM,piadmin,,12/31/1969 7:00:01 PM,FALSE,piadmin,5/30/2022 3:55:33 PM,,2,,13,piadmin: A(r,w) | piadmins: A(r,w) | PIWorld: A(r),fdca89af-2f33-4293-b764-789207c2a295
%OSI\ACEClassLibraries\BrianFirstACE\Main,Module,3/2/2022 11:30:22 AM,piadmin,,12/31/1969 7:00:01 PM,FALSE,piadmin,5/30/2022 3:55:33 PM,,1,,10,piadmin: A(r,w) | piadmins: A(r,w) | PIWorld: A(r),55c9814e-a1d1-448d-9716-a15948d3fdbc
%OSI\ACEClassLibraries\BrianFirstACE\Main\Context1,Module,3/2/2022 11:30:22 AM,piadmin,,12/31/1969 7:00:01 PM,FALSE,piadmin,5/30/2022 3:55:34 PM,,1,,10,piadmin: A(r,w) | piadmins: A(r,w) | PIWorld: A(r),dae9c889-7dd4-40a4-bae8-c65f7fe5926a
%OSI\ACEClassLibraries\MichaelFirstACE,Module,5/30/2022 3:41:10 PM,OSI\mpucci,,12/31/1969 7:00:01 PM,FALSE,piadmin,5/30/2022 3:55:34 PM,,2,,12,piadmin: A(r,w) | piadmins: A(r,w) | PIWorld: A(r),808a6a38-0ade-4edc-b2ad-288864a9dc5b
%OSI\ACEClassLibraries\MichaelFirstACE\Main,Module,5/30/2022 3:41:38 PM,OSI\mpucci,,12/31/1969 7:00:01 PM,FALSE,piadmin,5/30/2022 3:55:34 PM,,1,,46,piadmin: A(r,w) | piadmins: A(r,w) | PIWorld: A(r),beed48f9-d441-4e41-9c58-11a7d71faa86
%OSI\ACEClassLibraries\MichaelFirstACE\Main\Context1,Module,5/30/2022 3:42:05 PM,OSI\mpucci,,12/31/1969 7:00:01 PM,FALSE,piadmin,5/30/2022 3:55:35 PM,,1,,20,piadmin: A(r,w) | piadmins: A(r,w) | PIWorld: A(r),2369c087-7060-450d-8126-ccee38be043d
%OSI\ClientApps,Module,2/28/2022 9:49:32 AM,piadmin,OSI Internal ClientApps Information,12/31/1969 7:00:01 PM,FALSE,piadmin,2/28/2022 9:49:32 AM,,2,,1,piadmin: A(r,w) | piadmins: A(r,w) | PIWorld: A(r),3a816e08-188c-43c5-8a3b-e4ccce0e8238
%OSI\Components,Module,2/28/2022 9:49:32 AM,piadmin,OSI Internal Components Information,12/31/1969 7:00:01 PM,FALSE,piadmin,2/28/2022 9:49:32 AM,,2,,1,piadmin: A(r,w) | piadmins: A(r,w) | PIWorld: A(r),b9cb96c8-8a4f-4b93-9f67-2f52962e4ee3
%OSI\Framework,Module,2/28/2022 9:49:32 AM,piadmin,OSI Internal Framework Information,12/31/1969 7:00:01 PM,FALSE,piadmin,2/28/2022 9:49:32 AM,,2,,1,piadmin: A(r,w) | piadmins: A(r,w) | PIWorld: A(r),17cce513-5181-41b5-955c-2eab03b1ecaf
%OSI\Interfaces,Module,2/28/2022 9:49:32 AM,piadmin,OSI Internal Interfaces Information,12/31/1969 7:00:01 PM,FALSE,piadmin,2/28/2022 9:49:32 AM,,2,,1,piadmin: A(r,w) | piadmins: A(r,w) | PIWorld: A(r),25cfa400-c8cd-40c3-95b9-3742ee76e82e
%OSI\Interfaces\SVCS-ACE,Module,3/2/2022 11:39:19 AM,OSI\bbregenzer,,12/31/1969 7:00:01 PM,FALSE,OSI\bbregenzer,3/2/2022 11:39:19 AM,,1,,1,piadmin: A(r,w) | piadmins: A(r,w) | PIWorld: A(r),9b0a79e7-2e81-49b6-a872-2c1cda99b40a
%OSI\Interfaces\SVCS-ACE\random1,Module,3/2/2022 11:39:19 AM,OSI\bbregenzer,,12/31/1969 7:00:01 PM,FALSE,OSI\bbregenzer,3/2/2022 11:41:07 AM,,1,,56,piadmin: A(r,w) | piadmins: A(r,w) | PIWorld: A(r),b808918a-e4f0-46e5-9d4a-8170dfb760ca
%OSI\Interfaces\SVCS-ACE\rmp_sk1,Module,3/2/2022 11:41:24 AM,OSI\bbregenzer,,12/31/1969 7:00:01 PM,FALSE,OSI\bbregenzer,3/2/2022 11:41:57 AM,,1,,40,piadmin: A(r,w) | piadmins: A(r,w) | PIWorld: A(r),62f3b764-97fd-496e-8645-637056c077de
%OSI\MDB-AFMigrationData,Module,3/2/2022 11:21:58 AM,piadmin,,12/31/1969 7:00:01 PM,FALSE,piadmin,5/30/2022 3:55:21 PM,,2,,33,piadmin: A(r,w) | piadmins: A(r,w) | PIWorld: A(r),744bae09-ef0e-4f49-8f63-19dcdbb158c1
%OSI\Server,Module,2/28/2022 9:49:32 AM,piadmin,OSI Internal Server Information,12/31/1969 7:00:01 PM,FALSE,piadmin,2/28/2022 9:49:32 AM,,2,,1,piadmin: A(r,w) | piadmins: A(r,w) | PIWorld: A(r),dd26b49e-6551-422f-8aed-03bff6e2756b
Compressor,Module,3/2/2022 11:26:52 AM,piadmin,,12/31/1969 7:00:01 PM,FALSE,piadmin,3/2/2022 11:27:19 AM,,1,,3,piadmin: A(r,w) | piadmins: A(r,w) | PIWorld: A(r),b974e26a-f754-4850-8d5a-4de421a1b9ec
