FullPath,Type,PropertyName,PropertyValue
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main,Module,,
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||Comment,Property,Comment,test
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||IsEditing,Property,IsEditing,0
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||IsModified,Property,IsModified,0
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||RevHistory,Property,RevHistory,0
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||Status,Property,Status,1
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||StatusSince,Property,StatusSince,5/30/2022 3:55:35 PM
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||TagAliases,Property,TagAliases,0
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||TagAliases|\InputCount,Property,TagAliases|\InputCount,1
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||TagAliases|\OutputCount,Property,TagAliases|\OutputCount,1
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||TagAliases|Compressor\Pressure,Property,TagAliases|Compressor\Pressure,1
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||TagAliases|Compressor\Pressure|InputBadValSub,Property,TagAliases|Compressor\Pressure|InputBadValSub,No Substitution
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||TagAliases|Compressor\Pressure|InputClamping,Property,TagAliases|Compressor\Pressure|InputClamping,0
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||TagAliases|Compressor\Pressure|OutputBadValSub,Property,TagAliases|Compressor\Pressure|OutputBadValSub,No Substitution
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||TagAliases|Compressor\Pressure|OutputClamping,Property,TagAliases|Compressor\Pressure|OutputClamping,0
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||TagAliases|Compressor\Pressure|RevHistory,Property,TagAliases|Compressor\Pressure|RevHistory,0
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||TagAliases|Compressor\Pressure|RevHistory|Rev1,Property,TagAliases|Compressor\Pressure|RevHistory|Rev1,0
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||TagAliases|Compressor\Pressure|RevHistory|Rev1|Date,Property,TagAliases|Compressor\Pressure|RevHistory|Rev1|Date,3/2/2022 11:30:23 AM
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||TagAliases|Compressor\Pressure|RevHistory|Rev1|InputBadValSub,Property,TagAliases|Compressor\Pressure|RevHistory|Rev1|InputBadValSub,No Substitution
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||TagAliases|Compressor\Pressure|RevHistory|Rev1|InputClamping,Property,TagAliases|Compressor\Pressure|RevHistory|Rev1|InputClamping,0
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||TagAliases|Compressor\Pressure|RevHistory|Rev1|Name,Property,TagAliases|Compressor\Pressure|RevHistory|Rev1|Name,Compressor\Pressure
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||TagAliases|Compressor\Pressure|RevHistory|Rev1|OutputBadValSub,Property,TagAliases|Compressor\Pressure|RevHistory|Rev1|OutputBadValSub,No Substitution
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||TagAliases|Compressor\Pressure|RevHistory|Rev1|OutputClamping,Property,TagAliases|Compressor\Pressure|RevHistory|Rev1|OutputClamping,0
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||TagAliases|Compressor\Pressure|RevHistory|Rev1|Type,Property,TagAliases|Compressor\Pressure|RevHistory|Rev1|Type,1
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||TagAliases|Compressor\Pressure|RevHistory|Rev1|User,Property,TagAliases|Compressor\Pressure|RevHistory|Rev1|User,piadmin
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||TagAliases|Compressor\Pressure|SourceCodeName,Property,TagAliases|Compressor\Pressure|SourceCodeName,Pressure
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||TagAliases|Test,Property,TagAliases|Test,2
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||TagAliases|Test|InputBadValSub,Property,TagAliases|Test|InputBadValSub,No Substitution
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||TagAliases|Test|InputClamping,Property,TagAliases|Test|InputClamping,0
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||TagAliases|Test|OutputBadValSub,Property,TagAliases|Test|OutputBadValSub,No Substitution
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||TagAliases|Test|OutputClamping,Property,TagAliases|Test|OutputClamping,0
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||TagAliases|Test|RevHistory,Property,TagAliases|Test|RevHistory,0
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||TagAliases|Test|RevHistory|Rev1,Property,TagAliases|Test|RevHistory|Rev1,0
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||TagAliases|Test|RevHistory|Rev1|Date,Property,TagAliases|Test|RevHistory|Rev1|Date,3/2/2022 11:30:23 AM
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||TagAliases|Test|RevHistory|Rev1|InputBadValSub,Property,TagAliases|Test|RevHistory|Rev1|InputBadValSub,No Substitution
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||TagAliases|Test|RevHistory|Rev1|InputClamping,Property,TagAliases|Test|RevHistory|Rev1|InputClamping,0
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||TagAliases|Test|RevHistory|Rev1|Name,Property,TagAliases|Test|RevHistory|Rev1|Name,Test
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||TagAliases|Test|RevHistory|Rev1|OutputBadValSub,Property,TagAliases|Test|RevHistory|Rev1|OutputBadValSub,No Substitution
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||TagAliases|Test|RevHistory|Rev1|OutputClamping,Property,TagAliases|Test|RevHistory|Rev1|OutputClamping,0
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||TagAliases|Test|RevHistory|Rev1|Type,Property,TagAliases|Test|RevHistory|Rev1|Type,2
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||TagAliases|Test|RevHistory|Rev1|User,Property,TagAliases|Test|RevHistory|Rev1|User,piadmin
\\SVCS-ACE\%OSI\ACEClassLibraries\MichaelFirstACE\Main||TagAliases|Test|SourceCodeName,Property,TagAliases|Test|SourceCodeName,Test
